Profile Name,Start Time,Duration,Title
Berkay,2023-05-14 05:56:03,00:00:32,Breaking Bad: Season 2: Bit by a Dead Bee (Episode 3)
Berkay,2023-05-13 20:26:49,00:28:05,Breaking Bad: Season 5: Granite State (Episode 15)
Berkay,2023-05-13 20:04:50,00:21:21,Breaking Bad: Season 5: Ozymandias (Episode 14)
Berkay,2023-05-13 19:04:22,00:28:09,Breaking Bad: Season 5: Ozymandias (Episode 14)
Berkay,2023-05-13 19:04:02,00:00:17,Breaking Bad: Season 1_hook_03_16x9
Berkay,2023-05-13 18:36:59,00:23:24,Breaking Bad: Season 5: To'hajiilee (Episode 13)
Berkay,2023-05-13 18:36:53,00:00:04,The Midnight Gospel: Season 1 PVS Clip 5
Berkay,2023-05-13 15:11:15,00:24:14,Breaking Bad: Season 5: To'hajiilee (Episode 13)
Berkay,2023-05-13 14:43:15,00:22:25,Breaking Bad: Season 5: Rabid Dog (Episode 12)
Berkay,2023-05-13 13:59:21,00:25:44,Breaking Bad: Season 5: Rabid Dog (Episode 12)
Berkay,2023-05-13 13:39:20,00:19:55,Breaking Bad: Season 5: Confessions (Episode 11)
Berkay,2023-05-13 11:29:50,00:28:42,Breaking Bad: Season 5: Confessions (Episode 11)
Berkay,2023-05-13 10:30:49,00:49:16,Breaking Bad: Season 5: Buried (Episode 10)
Berkay,2023-05-13 10:08:00,00:19:53,Breaking Bad: Season 5: Blood Money (Episode 9)
Berkay,2023-05-12 20:49:59,00:20:15,Breaking Bad: Season 5: Blood Money (Episode 9)
Berkay,2023-05-11 23:31:10,00:19:15,Breaking Bad: Season 5: Blood Money (Episode 9)
Berkay,2023-05-11 23:29:30,00:01:32,Breaking Bad: Season 5: Gliding Over All (Episode 8)
Berkay,2023-05-11 23:29:21,00:00:04,Breaking Bad: Season 5: Blood Money (Episode 9)
Berkay,2023-05-11 15:50:49,00:20:55,Breaking Bad: Season 5: Gliding Over All (Episode 8)
Berkay,2023-05-11 15:49:14,00:01:07,Breaking Bad: Season 5: Say My Name (Episode 7)
Berkay,2023-05-11 15:35:48,00:06:06,Breaking Bad: Season 5: Gliding Over All (Episode 8)
Berkay,2023-05-09 22:48:43,00:18:56,Breaking Bad: Season 5: Gliding Over All (Episode 8)
Berkay,2023-05-09 21:23:44,00:09:24,Breaking Bad: Season 5: Gliding Over All (Episode 8)
Berkay,2023-05-09 20:33:36,00:47:52,Breaking Bad: Season 5: Say My Name (Episode 7)
Berkay,2023-05-09 19:43:48,00:47:47,Breaking Bad: Season 5: Buyout (Episode 6)
Berkay,2023-05-09 19:30:00,00:13:44,Breaking Bad: Season 5: Dead Freight (Episode 5)
Berkay,2023-05-08 21:15:24,00:35:05,Breaking Bad: Season 5: Dead Freight (Episode 5)
Berkay,2023-05-08 20:59:20,00:15:25,Breaking Bad: Season 5: Fifty-One (Episode 4)
Berkay,2023-05-08 15:12:14,00:34:07,Breaking Bad: Season 5: Fifty-One (Episode 4)
Berkay,2023-05-08 14:47:15,00:21:33,Breaking Bad: Season 5: Hazard Pay (Episode 3)
Berkay,2023-05-08 14:45:02,00:01:24,Breaking Bad: Season 5: Hazard Pay (Episode 3)
Berkay,2023-05-08 14:04:26,00:26:36,Breaking Bad: Season 5: Hazard Pay (Episode 3)
Berkay,2023-05-08 14:04:18,00:00:03,Breaking Bad: Season 5: Madrigal (Episode 2)
Berkay,2023-05-08 14:03:51,00:00:22,Breaking Bad: Season 5: Hazard Pay (Episode 3)
Berkay,2023-05-07 18:55:48,00:32:18,Breaking Bad: Season 5: Madrigal (Episode 2)
Berkay,2023-05-06 21:57:55,00:22:39,Breaking Bad: Season 5: Madrigal (Episode 2)
Berkay,2023-05-06 21:43:21,00:11:58,Breaking Bad: Season 5: Live Free Or Die (Episode 1)
Berkay,2023-05-06 19:21:38,00:31:29,Breaking Bad: Season 5: Live Free Or Die (Episode 1)
Berkay,2023-05-06 18:27:11,00:50:03,Breaking Bad: Season 4: Face Off (Episode 13)
Berkay,2023-05-06 17:18:03,00:40:23,Breaking Bad: Season 4: End Times (Episode 12)
Berkay,2023-05-05 20:22:03,00:09:01,Breaking Bad: Season 4: End Times (Episode 12)
Berkay,2023-05-05 19:47:59,00:29:45,Breaking Bad: Season 4: Crawl Space (Episode 11)
Berkay,2023-05-05 19:16:31,00:17:33,Breaking Bad: Season 4: Crawl Space (Episode 11)
Berkay,2023-05-05 19:07:29,00:08:53,Breaking Bad: Season 4: Salud (Episode 10)
Berkay,2023-05-05 19:06:03,00:01:09,Breaking Bad: Season 4: Bug (Episode 9)
Berkay,2023-05-05 18:40:02,00:14:56,Breaking Bad: Season 4: Salud (Episode 10)
Berkay,2023-05-05 17:43:42,00:19:07,Breaking Bad: Season 4: Salud (Episode 10)
Berkay,2023-05-04 21:46:14,00:07:17,Breaking Bad: Season 4: Salud (Episode 10)
Berkay,2023-05-04 21:37:59,00:07:59,Breaking Bad: Season 4: Bug (Episode 9)
Berkay,2023-05-04 21:37:44,00:00:11,Breaking Bad: Season 4: Salud (Episode 10)
Berkay,2023-05-04 21:37:13,00:00:06,Breaking Bad: Season 4: Bug (Episode 9)
Berkay,2023-05-04 21:37:04,00:00:02,Breaking Bad: Season 4: Salud (Episode 10)
Berkay,2023-05-03 11:27:24,00:11:25,Spirited Away
Berkay,2023-05-03 11:27:13,00:00:01,The Office (U.S.): Season 1: Pilot (Episode 1)
Berkay,2023-05-02 19:37:41,01:11:52,Spirited Away
